,SNIa_Probability,SNII_Probability,SNIbc_Probability,SLSN_Probability,ZTF_ID,host_ra,hostdec,has_host?,TNS_Classification,Alerce_SNIa_Probability,Alerce_SNII_Probability,Alerce_SNIbc_Probability,Alerce_SLSN_Probability
9263,0.35,0.103,0.504666667,0.042333333,ZTF19aaxesxx,216.7577275,52.76838883,True,Object Not Found,0.374,0.178,0.294,0.154
9264,0.625666667,0.101,0.220333333,0.053,ZTF20acjswcb,322.7106474,4.37939351,True,Object Not Found,0.432,0.152,0.256,0.16
9265,0.213666667,0.305666667,0.449666667,0.031,ZTF20acpjthf,329.0322102,40.34752041,True,Object Not Found,0.474,0.102,0.398,0.026
9266,0.575,0.105333333,0.28,0.039666667,ZTF20acynllu,18.27268574,-18.11670947,True,Object Not Found,0.614,0.07,0.296,0.02
9267,0.197,0.216,0.581666667,0.005333333,ZTF19aaqsxaa,256.4222488,51.38701378,True,Object Not Found,0.268,0.124,0.458,0.15
9268,0.097333333,0.451,0.444333333,0.007333333,ZTF19aauojid,351.3870384,15.92667796,True,Object Not Found,0.054,0.496,0.214,0.236
9269,0.025333333,0.919666667,0.037333333,0.017666667,ZTF20aazpphd,242.7147533,27.15831268,True,Object Not Found,0.034,0.66,0.05,0.256
9270,0.529,0.151,0.283,0.037,ZTF20abqtcof,,,False,Object Not Found,0.33,0.186,0.206,0.278
9271,0.500333333,0.194333333,0.178666667,0.126666667,ZTF20achpsci,336.8873225,31.01620084,True,Object Not Found,0.306,0.172,0.25,0.272
9272,0.543,0.099666667,0.254666667,0.102666667,ZTF20abgmlca,227.9665523,-11.18258656,True,Object Not Found,0.388,0.186,0.158,0.268
9273,0.393666667,0.159333333,0.427666667,0.019333333,ZTF21aaabzbr,214.7571978,19.69505193,True,Object Not Found,0.286,0.238,0.244,0.232
9274,0.374666667,0.301666667,0.317333333,0.006333333,ZTF20ablqgfx,303.5684629,12.98170891,True,Object Not Found,0.384,0.112,0.33,0.174
9275,0.378333333,0.305,0.31,0.006666667,ZTF20achpsiy,266.2034413,70.35321113,True,Object Not Found,0.31,0.188,0.204,0.298
9276,0.235666667,0.308666667,0.433666667,0.022,ZTF20acmhpvd,303.4936211,18.68336124,True,Object Not Found,,,,
9277,0.489333333,0.182666667,0.158,0.17,ZTF20acmmfkd,0.50793232,-22.99292492,True,Object Not Found,0.216,0.216,0.144,0.424
9278,0.378666667,0.323333333,0.231666667,0.066333333,ZTF18aayjsoj,238.2876395,49.72168079,True,Object Not Found,0.236,0.236,0.146,0.382
9279,0.480333333,0.162,0.2,0.157666667,ZTF20acorkrg,25.85382285,-7.17257465,True,Object Not Found,0.34,0.186,0.35,0.124
9280,0.371,0.363666667,0.260333333,0.005,ZTF20acsfean,205.4930044,50.48772806,True,Object Not Found,0.352,0.218,0.304,0.126
9281,0.030333333,0.837666667,0.065,0.067,ZTF19aanqzle,169.515827,75.14785173,True,Object Not Found,0.052,0.518,0.082,0.348
9282,0.295333333,0.171,0.107,0.426666667,ZTF18acrxpzx,167.7649931,64.24612949,True,Object Not Found,0.426,0.156,0.31,0.108
9283,0.385333333,0.296666667,0.311,0.007,ZTF19abbwpem,316.4965275,9.98667427,True,Object Not Found,0.284,0.152,0.222,0.342
9284,0.171666667,0.391,0.290666667,0.146666667,ZTF19abctzxn,10.87721903,41.10703049,True,Object Not Found,0.218,0.132,0.604,0.046
9285,0.051333333,0.267333333,0.102,0.579333333,ZTF19abovsqr,235.1918969,38.84523213,True,Object Not Found,0.082,0.302,0.224,0.392
9286,0.515666667,0.135666667,0.203666667,0.145,ZTF19abqrpdf,40.77912343,-17.5023433,True,Object Not Found,0.558,0.124,0.242,0.076
9287,0.675333333,0.105666667,0.197666667,0.021333333,ZTF19absfxww,282.3336175,45.32286602,True,Object Not Found,0.338,0.234,0.192,0.236
9288,0.554333333,0.106666667,0.078,0.261,ZTF19aaqcqkv,196.0784071,33.47020203,True,Object Not Found,0.596,0.088,0.254,0.062
9289,0.033333333,0.104333333,0.043333333,0.819,ZTF19aailptb,,,False,Object Not Found,0.076,0.31,0.242,0.372
9290,0.39,0.286666667,0.315666667,0.007666667,ZTF19acfsvqy,282.9225415,75.22719185,True,Object Not Found,0.228,0.222,0.302,0.248
9291,0.589333333,0.167,0.233666667,0.01,ZTF19abzlxuj,61.26136187,-8.18702273,True,Object Not Found,0.468,0.128,0.288,0.116
9292,0.49,0.284333333,0.183333333,0.042333333,ZTF19abqmabf,46.02752688,11.34882182,True,Object Not Found,0.25,0.196,0.37,0.184
9293,0.304,0.138,0.531333333,0.026666667,ZTF19acnpnjn,120.2224472,74.99419185,True,Object Not Found,0.266,0.162,0.382,0.19
9294,0.398666667,0.297666667,0.3,0.003666667,ZTF18acsonov,129.6625058,13.92103759,True,Object Not Found,0.322,0.194,0.222,0.262
