,Training_set,ZTF_ID,TNS_class,my_class,my_SN_Ia,my_SN_II,my_SN_Ibc,my_SLSN,ALeRCE_class,ALeRCE_SN_Ia,ALeRCE_SN_II,ALeRCE_SN_Ibc,ALeRCE_SLSN,Redshift
4588,False,ZTF19abbwbrw,No Classification,SN Ia,0.641,0.087,0.164,0.108,SNIa,0.408,0.182,0.258,0.152,No Redshift
4589,False,ZTF19acrdpwj,No Classification,SN Ib/c,0.311,0.23,0.411,0.048,SNIbc,0.336,0.222,0.372,0.07,No Redshift
4590,False,ZTF19acbszwp,No Classification,SN Ia,0.539,0.143,0.27,0.048,SNIa,0.382,0.194,0.324,0.1,0.096793
4591,False,ZTF18abrlhnm,Object Not Found,SN Ia,0.346,0.157,0.346,0.151,SNIa,0.358,0.192,0.312,0.138,No Redshift
4592,False,ZTF20aartxoc,Object Not Found,SN II,0.108,0.417,0.173,0.302,SNIbc,0.268,0.258,0.286,0.188,No Redshift
4593,False,ZTF20aazfczu,No Classification,SN II,0.105,0.406,0.227,0.262,SNII,0.212,0.296,0.29,0.202,No Redshift
4594,False,ZTF20aazfxvw,No Classification,SN Ia,0.575,0.162,0.191,0.072,SNIa,0.4,0.198,0.282,0.12,No Redshift
4595,False,ZTF20aaktott,Object Not Found,SN Ia,0.359,0.247,0.308,0.086,SNIbc,0.308,0.238,0.34,0.114,No Redshift
4596,False,ZTF19aaxwsby,No Classification,SN Ia,0.594,0.125,0.184,0.097,SNIa,0.364,0.186,0.244,0.206,No Redshift
4597,False,ZTF19aazxkcn,Object Not Found,SN Ia,0.406,0.175,0.326,0.093,SNIa,0.366,0.228,0.252,0.154,No Redshift
4598,False,ZTF20aaznooa,No Classification,SN II,0.274,0.335,0.233,0.158,SNIa,0.3,0.214,0.298,0.188,No Redshift
4599,False,ZTF19abatasq,No Classification,SN Ia,0.386,0.172,0.262,0.18,SNIbc,0.386,0.144,0.388,0.082,No Redshift
4600,False,ZTF19aanmela,Object Not Found,SN II,0.11,0.417,0.258,0.215,SNIbc,0.206,0.236,0.394,0.164,No Redshift
4601,False,ZTF19abdbskh,Object Not Found,SN II,0.144,0.388,0.272,0.196,SNIbc,0.218,0.254,0.348,0.18,No Redshift
