,Training_set,ZTF_ID,TNS_class,my_class,my_SN_Ia,my_SN_II,my_SN_Ibc,my_SLSN,ALeRCE_class,ALeRCE_SN_Ia,ALeRCE_SN_II,ALeRCE_SN_Ibc,ALeRCE_SLSN,Redshift
0,False,ZTF21aaxstpn,No Classification,SN Ia,0.385,0.173,0.342,0.1,SNIa,0.386,0.18,0.322,0.112,No Redshift
1,False,ZTF21aaadhjn,No Classification,SN Ia,0.347,0.201,0.243,0.209,SNIa,0.42,0.174,0.262,0.144,No Redshift
2,False,ZTF21aagtquu,No Classification,SN Ib/c,0.312,0.187,0.465,0.036,SNIa,0.394,0.2,0.31,0.096,No Redshift
3,False,ZTF21aaxvxbu,No Classification,SN Ib/c,0.225,0.285,0.436,0.054,SNIbc,0.242,0.214,0.432,0.112,No Redshift
4,False,ZTF21aaypsco,No Classification,SN Ia,0.468,0.172,0.237,0.123,SNIa,0.346,0.23,0.254,0.17,0.139306
5,False,ZTF21aaxstrx,No Classification,SN Ib/c,0.316,0.194,0.379,0.111,SNIbc,0.342,0.176,0.398,0.084,No Redshift
6,False,ZTF21aakvrwp,No Classification,SN Ia,0.367,0.168,0.348,0.117,SNIa,0.392,0.166,0.33,0.112,No Redshift
7,False,ZTF21aagsjsj,No Classification,SN Ia,0.349,0.216,0.335,0.1,SNIa,0.396,0.164,0.338,0.102,No Redshift
8,False,ZTF21aahhkyb,No Classification,SN Ib/c,0.323,0.175,0.338,0.164,SNIa,0.368,0.202,0.266,0.164,No Redshift
9,False,ZTF21aavcylw,No Classification,SN Ia,0.374,0.269,0.204,0.153,SNIa,0.344,0.242,0.254,0.16,2.245
10,False,ZTF21aaqldsj,SN II,SN II,0.081,0.537,0.201,0.181,SNII,0.236,0.308,0.218,0.238,0.0316
11,False,ZTF21abaphri,SN Ia,SN Ia,0.47,0.143,0.304,0.083,SNIa,0.424,0.148,0.29,0.138,0.06
12,False,ZTF21aaeubnz,Object Not Found,SN Ib/c,0.217,0.35,0.377,0.056,SNIbc,0.256,0.218,0.422,0.104,No Redshift
13,False,ZTF21aapfewo,No Classification,SN Ia,0.532,0.14,0.156,0.172,SNIa,0.352,0.152,0.346,0.15,No Redshift
14,False,ZTF21aazkqnz,Object Not Found,SN Ia,0.407,0.165,0.282,0.146,SNIa,0.37,0.202,0.274,0.154,No Redshift
15,False,ZTF21aaridax,No Classification,SN Ia,0.391,0.178,0.315,0.116,SNIa,0.388,0.21,0.252,0.15,0.08569218
16,False,ZTF21aaehrnw,No Classification,SLSN,0.118,0.376,0.117,0.389,SNIbc,0.28,0.22,0.292,0.208,No Redshift
17,False,ZTF19aaeejsb,Object Not Found,SN II,0.178,0.384,0.22,0.218,SNIbc,0.23,0.284,0.33,0.156,No Redshift
18,False,ZTF21aaqieep,No Classification,SN Ib/c,0.316,0.197,0.339,0.148,SNIa,0.376,0.218,0.294,0.112,No Redshift
19,False,ZTF21aarhfzg,Object Not Found,SN Ia,0.396,0.204,0.28,0.12,SNIa,0.28,0.246,0.28,0.194,0.134855
20,False,ZTF21aapqbyz,No Classification,SN II,0.177,0.529,0.128,0.166,SNII,0.232,0.346,0.2,0.222,No Redshift
21,False,ZTF19aamwvns,Object Not Found,SN Ib/c,0.17,0.28,0.388,0.162,SNIbc,0.272,0.212,0.338,0.178,No Redshift
22,False,ZTF21aaabwfu,SN IIb,SN Ib/c,0.128,0.349,0.412,0.111,SNIbc,0.316,0.216,0.364,0.104,0.010929
23,False,ZTF20aajdnlk,Object Not Found,SN II,0.1,0.39,0.323,0.187,SNII,0.156,0.324,0.278,0.242,No Redshift
24,False,ZTF21aaiucta,No Classification,SN Ia,0.327,0.214,0.325,0.134,SNIbc,0.316,0.202,0.324,0.158,No Redshift
25,False,ZTF21aagofnm,Object Not Found,SN Ib/c,0.245,0.199,0.482,0.074,SNIa,0.372,0.19,0.308,0.13,No Redshift
26,False,ZTF21aavdtwe,No Classification,SN Ia,0.335,0.255,0.25,0.16,SNIa,0.34,0.236,0.268,0.156,No Redshift
27,False,ZTF21aahskfm,No Classification,SN Ib/c,0.182,0.231,0.498,0.089,SNIbc,0.312,0.174,0.42,0.094,No Redshift
28,False,ZTF20aczgmai,SN IIn,SLSN,0.008,0.199,0.032,0.761,SLSN,0.134,0.266,0.188,0.412,0.042843
29,False,ZTF21aavdtdp,No Classification,SN Ia,0.521,0.153,0.2,0.126,SNIa,0.376,0.166,0.324,0.134,No Redshift
30,False,ZTF21aaoetqh,No Classification,SN Ia,0.54,0.152,0.217,0.091,SNIa,0.444,0.138,0.314,0.104,No Redshift
31,False,ZTF21aawogdl,SN Ib,SN Ib/c,0.295,0.16,0.47,0.075,SNIa,0.374,0.184,0.358,0.084,0.031275
32,False,ZTF21aagmrvg,No Classification,SN Ia,0.427,0.233,0.221,0.119,SNIa,0.336,0.226,0.23,0.208,No Redshift
33,False,ZTF21aadrrbf,Object Not Found,SN Ia,0.451,0.141,0.279,0.129,SNIa,0.36,0.182,0.288,0.17,No Redshift
34,False,ZTF21aapkiaw,No Classification,SN Ia,0.596,0.126,0.2,0.078,SNIa,0.454,0.156,0.284,0.106,No Redshift
35,False,ZTF21aagogrx,No Classification,SN Ia,0.45,0.187,0.291,0.072,SNIa,0.428,0.188,0.294,0.09,0.117305
36,False,ZTF21aapjzfm,No Classification,SN Ia,0.705,0.119,0.132,0.044,SNIa,0.462,0.156,0.262,0.12,No Redshift
37,False,ZTF21aapkisz,No Classification,SN Ia,0.457,0.219,0.25,0.074,SNIa,0.36,0.186,0.328,0.126,No Redshift
38,False,ZTF21aayprqz,No Classification,SN Ia,0.392,0.173,0.268,0.167,SNIa,0.312,0.208,0.22,0.26,0.112012
39,False,ZTF21aanortq,SN Ia-pec,SN Ia,0.719,0.069,0.164,0.048,SNIa,0.43,0.194,0.276,0.1,0.04
40,False,ZTF21aagsmzb,No Classification,SN Ia,0.362,0.179,0.352,0.107,SNIa,0.408,0.17,0.314,0.108,No Redshift
41,False,ZTF18acmvkoq,Object Not Found,SN II,0.13,0.366,0.266,0.238,SNIbc,0.22,0.252,0.312,0.216,No Redshift
42,False,ZTF21aaopupn,Object Not Found,SN Ia,0.399,0.221,0.271,0.109,SNIa,0.406,0.196,0.31,0.088,0.120666
43,False,ZTF21aajsxcy,No Classification,SN Ib/c,0.304,0.209,0.343,0.144,SNIa,0.414,0.168,0.296,0.122,No Redshift
44,False,ZTF21aapkdba,No Classification,SN II,0.258,0.333,0.291,0.118,SNIbc,0.256,0.27,0.318,0.156,No Redshift
45,False,ZTF21aaguiqz,Object Not Found,SN Ib/c,0.364,0.16,0.392,0.084,SNIa,0.43,0.172,0.334,0.064,No Redshift
46,False,ZTF21aapqtgc,Object Not Found,SN II,0.258,0.397,0.24,0.105,SNIa,0.316,0.254,0.312,0.118,No Redshift
47,False,ZTF21aagmqux,No Classification,SN Ib/c,0.289,0.199,0.368,0.144,SNIbc,0.322,0.186,0.362,0.13,No Redshift
48,False,ZTF20abxwkpx,Object Not Found,SN II,0.1,0.477,0.182,0.241,SNIbc,0.24,0.262,0.286,0.212,No Redshift
49,False,ZTF21aanrxap,Object Not Found,SN Ib/c,0.298,0.195,0.431,0.076,SNIa,0.38,0.19,0.328,0.102,No Redshift
50,False,ZTF21aarounv,No Classification,SN Ia,0.387,0.195,0.311,0.107,SNIa,0.352,0.216,0.276,0.156,No Redshift
51,False,ZTF21aawglcd,No Classification,SN Ib/c,0.272,0.22,0.412,0.096,SNIbc,0.328,0.206,0.368,0.098,No Redshift
52,False,ZTF20aaznpdz,Object Not Found,SLSN,0.182,0.303,0.162,0.353,SLSN,0.134,0.29,0.232,0.344,0.041085
53,False,ZTF21aareryw,No Classification,SN Ia,0.39,0.228,0.281,0.101,SNIa,0.41,0.19,0.284,0.116,0.150554
54,False,ZTF20acyxzzf,No Classification,SN Ia,0.518,0.119,0.189,0.174,SNIa,0.354,0.202,0.268,0.176,No Redshift
55,False,ZTF21aaglryo,Object Not Found,SN Ia,0.341,0.224,0.327,0.108,SNIa,0.354,0.19,0.34,0.116,No Redshift
56,False,ZTF21aagmrym,No Classification,SN Ia,0.347,0.287,0.265,0.101,SNIa,0.344,0.206,0.28,0.17,No Redshift
57,False,ZTF21aagtdwx,Object Not Found,SN Ia,0.346,0.235,0.285,0.134,SNIa,0.358,0.182,0.33,0.13,No Redshift
58,False,ZTF21aacpasn,SN Ia,SN Ib/c,0.333,0.193,0.348,0.126,SNIbc,0.266,0.202,0.344,0.188,0.05
59,False,ZTF21aarnxig,Object Not Found,SLSN,0.27,0.202,0.246,0.282,SNIa,0.31,0.242,0.262,0.186,No Redshift
60,False,ZTF21aalswkm,No Classification,SN Ia,0.4,0.18,0.224,0.196,SNIa,0.34,0.222,0.268,0.17,No Redshift
61,False,ZTF21aarbczp,No Classification,SN Ib/c,0.223,0.22,0.483,0.074,SNIbc,0.296,0.194,0.348,0.162,No Redshift
62,False,ZTF21aavqior,Object Not Found,SN Ib/c,0.302,0.193,0.449,0.056,SNIbc,0.342,0.228,0.37,0.06,No Redshift
63,False,ZTF21aaphjei,No Classification,SN II,0.284,0.295,0.28,0.141,SNIa,0.32,0.244,0.27,0.166,No Redshift
64,False,ZTF21aagyxgr,SN Ia,SN II,0.132,0.359,0.209,0.3,SNII,0.23,0.278,0.236,0.256,0.0169
65,False,ZTF21aataajv,No Classification,SN Ia,0.286,0.246,0.28,0.188,SNIa,0.388,0.19,0.248,0.174,No Redshift
66,False,ZTF19abnooxt,Object Not Found,SN Ib/c,0.19,0.277,0.335,0.198,SNIbc,0.306,0.19,0.348,0.156,No Redshift
67,False,ZTF21aagywhf,Object Not Found,SN Ia,0.416,0.263,0.276,0.045,SNIa,0.402,0.172,0.344,0.082,0.096249
68,False,ZTF21aaphjef,No Classification,SN Ia,0.534,0.199,0.197,0.07,SNIa,0.326,0.216,0.314,0.144,No Redshift
69,False,ZTF21aaoqayg,No Classification,SN Ia,0.629,0.136,0.201,0.034,SNIa,0.362,0.2,0.342,0.096,0.10473
70,False,ZTF21aayqycm,SN Ia,SN Ia,0.389,0.224,0.252,0.135,SNIa,0.352,0.226,0.282,0.14,0.09
71,False,ZTF20achupkw,SLSN-II,SLSN,0.096,0.194,0.091,0.619,SLSN,0.134,0.304,0.146,0.416,0.3836
72,False,ZTF21aaeundb,No Classification,SN Ia,0.365,0.175,0.246,0.214,SNIbc,0.276,0.196,0.318,0.21,0.032649
73,False,ZTF21aariepz,No Classification,SN Ia,0.384,0.186,0.301,0.129,SNIa,0.342,0.196,0.26,0.202,No Redshift
74,False,ZTF21aaqyemz,No Classification,SN Ia,0.412,0.251,0.218,0.119,SNIa,0.314,0.27,0.192,0.224,0.093102
75,False,ZTF21aareduf,No Classification,SN Ia,0.481,0.161,0.286,0.072,SNIa,0.366,0.184,0.296,0.154,2.935
76,False,ZTF21aajtaiw,No Classification,SN II,0.128,0.389,0.198,0.285,SNIbc,0.226,0.248,0.306,0.22,No Redshift
77,False,ZTF21aahclyf,No Classification,SN Ia,0.552,0.143,0.161,0.144,SNIa,0.414,0.154,0.298,0.134,4.125
78,False,ZTF21aapxpsp,No Classification,SN Ia,0.556,0.198,0.202,0.044,SNIa,0.426,0.172,0.31,0.092,No Redshift
79,False,ZTF21aalomjw,Object Not Found,SN II,0.105,0.355,0.319,0.221,SNIbc,0.212,0.22,0.346,0.222,No Redshift
80,False,ZTF21aaaalaf,SN Ia,SN Ib/c,0.282,0.217,0.444,0.057,SNIa,0.326,0.218,0.282,0.174,0.05
81,False,ZTF20abexgoa,Object Not Found,SN Ia,0.467,0.171,0.272,0.09,SNIa,0.374,0.25,0.222,0.154,No Redshift
82,False,ZTF21aaqgmfz,Object Not Found,SN Ia,0.386,0.163,0.346,0.105,SNIa,0.384,0.212,0.294,0.11,2.485
83,False,ZTF21aaglcat,No Classification,SN Ia,0.351,0.268,0.314,0.067,SNIa,0.388,0.184,0.306,0.122,No Redshift
84,False,ZTF21aanjvng,No Classification,SN II,0.092,0.518,0.132,0.258,SLSN,0.156,0.312,0.216,0.316,0.030057
85,False,ZTF21aapomjl,No Classification,SN Ia,0.678,0.077,0.183,0.062,SNIa,0.498,0.146,0.264,0.092,No Redshift
86,False,ZTF21aapzbhc,No Classification,SN Ia,0.42,0.169,0.299,0.112,SNIa,0.366,0.198,0.27,0.166,No Redshift
87,False,ZTF21aaabxln,SN Ia,SN Ia,0.477,0.191,0.205,0.127,SNII,0.25,0.276,0.24,0.234,0.08
88,False,ZTF21aapfmut,No Classification,SN Ia,0.596,0.163,0.206,0.035,SNIa,0.388,0.214,0.308,0.09,0.095618
89,False,ZTF21aahjuxg,No Classification,SN Ia,0.362,0.167,0.274,0.197,SNIa,0.332,0.18,0.22,0.268,No Redshift
90,False,ZTF21aaqgluf,No Classification,SN Ia,0.645,0.109,0.185,0.061,SNIa,0.406,0.182,0.29,0.122,0.108999
91,False,ZTF21aapjmda,SN Ia-91bg-like,SN Ib/c,0.232,0.133,0.622,0.013,SNIbc,0.4,0.15,0.412,0.038,0.026949
92,False,ZTF20abphjih,Object Not Found,SN Ib/c,0.247,0.213,0.436,0.104,SNIa,0.362,0.194,0.292,0.152,No Redshift
93,False,ZTF21aapkzox,No Classification,SN Ia,0.395,0.222,0.244,0.139,SNIa,0.332,0.272,0.26,0.136,No Redshift
94,False,ZTF20acxutmf,Object Not Found,SN Ib/c,0.132,0.355,0.373,0.14,SNIbc,0.254,0.242,0.316,0.188,No Redshift
95,False,ZTF21aabatzn,No Classification,SN II,0.097,0.486,0.217,0.2,SNII,0.228,0.272,0.244,0.256,No Redshift
96,False,ZTF21aapnydy,No Classification,SN Ib/c,0.317,0.178,0.401,0.104,SNIbc,0.298,0.206,0.348,0.148,No Redshift
97,False,ZTF21aarhcpt,No Classification,SN Ia,0.564,0.129,0.164,0.143,SNIa,0.348,0.232,0.226,0.194,No Redshift
98,False,ZTF21aaogmvs,Object Not Found,SN Ia,0.324,0.171,0.242,0.263,SNIa,0.288,0.234,0.224,0.254,No Redshift
99,False,ZTF21aarejjp,No Classification,SN Ia,0.459,0.172,0.246,0.123,SNIa,0.382,0.2,0.234,0.184,No Redshift
100,False,ZTF21aarhcjk,No Classification,SN Ia,0.333,0.27,0.247,0.15,SNIa,0.31,0.264,0.224,0.202,0.117311
101,False,ZTF21aapjpfv,Object Not Found,SN Ia,0.356,0.214,0.237,0.193,SNIa,0.356,0.228,0.286,0.13,No Redshift
102,False,ZTF21aaizarc,No Classification,SLSN,0.132,0.284,0.262,0.322,SNIbc,0.244,0.206,0.376,0.174,0.050494
103,False,ZTF17aaaskmz,Object Not Found,SLSN,0.21,0.263,0.255,0.272,SNII,0.248,0.28,0.278,0.194,No Redshift
104,False,ZTF21aagyvtq,SN Ia,SN Ia,0.426,0.233,0.222,0.119,SNIa,0.33,0.252,0.224,0.194,0.105047
105,False,ZTF21aakkqcl,Object Not Found,SN Ia,0.337,0.177,0.266,0.22,SNIbc,0.272,0.208,0.404,0.116,No Redshift
106,False,ZTF20acohnhq,Object Not Found,SN II,0.101,0.428,0.257,0.214,SNIbc,0.186,0.274,0.304,0.236,No Redshift
107,False,ZTF21aagxorm,Object Not Found,SN Ia,0.363,0.207,0.323,0.107,SNIa,0.344,0.218,0.276,0.162,0.099624
108,False,ZTF21aagxott,No Classification,SN Ia,0.337,0.293,0.256,0.114,SNIa,0.386,0.206,0.29,0.118,0.1093
109,False,ZTF21aaglccp,No Classification,SN Ib/c,0.371,0.15,0.418,0.061,SNIa,0.364,0.192,0.336,0.108,No Redshift
110,False,ZTF21aaylydx,No Classification,SN Ia,0.357,0.171,0.277,0.195,SNIa,0.408,0.2,0.244,0.148,No Redshift
111,False,ZTF21aapxeiz,Object Not Found,SN Ib/c,0.242,0.219,0.498,0.041,SNIbc,0.35,0.192,0.378,0.08,No Redshift
112,False,ZTF21aaodluh,No Classification,SN Ia,0.288,0.252,0.228,0.232,SNIa,0.308,0.22,0.27,0.202,No Redshift
113,False,ZTF21aagoqez,No Classification,SN Ia,0.368,0.221,0.285,0.126,SNIa,0.416,0.202,0.262,0.12,0.137546
114,False,ZTF21aackkyn,No Classification,SN II,0.161,0.41,0.269,0.16,SNIbc,0.306,0.226,0.324,0.144,No Redshift
115,False,ZTF21aamnngb,SN Ia,SN Ib/c,0.184,0.258,0.392,0.166,SNIbc,0.326,0.168,0.382,0.124,0.016355
116,False,ZTF21abbcsfu,SN Ia,SN Ia,0.384,0.211,0.259,0.146,SNIa,0.324,0.232,0.218,0.226,0.073
117,False,ZTF21aagyidr,Object Not Found,SN Ib/c,0.372,0.157,0.389,0.082,SNIa,0.392,0.192,0.282,0.134,No Redshift
118,False,ZTF21aajmdui,Object Not Found,SLSN,0.246,0.285,0.181,0.288,SNIa,0.33,0.25,0.312,0.108,No Redshift
119,False,ZTF21aagswvs,No Classification,SN Ib/c,0.345,0.187,0.348,0.12,SNIa,0.354,0.184,0.332,0.13,0.135205
120,False,ZTF20acynqpx,No Classification,SN II,0.109,0.47,0.126,0.295,SNII,0.29,0.248,0.256,0.206,0.041524
121,False,ZTF20acwkbjm,Object Not Found,SLSN,0.105,0.275,0.124,0.496,SNIbc,0.216,0.224,0.29,0.27,0.142998
122,False,ZTF21aahfizx,No Classification,SN Ib/c,0.326,0.238,0.338,0.098,SNIa,0.372,0.224,0.294,0.11,0.12391
123,False,ZTF20acuugwe,Object Not Found,SLSN,0.081,0.313,0.164,0.442,SNIbc,0.222,0.224,0.328,0.226,No Redshift
124,False,ZTF21aaxbidh,Object Not Found,SN Ib/c,0.309,0.221,0.363,0.107,SNIa,0.398,0.148,0.39,0.064,No Redshift
125,False,ZTF21aamftdg,No Classification,SLSN,0.09,0.257,0.132,0.521,SLSN,0.182,0.206,0.182,0.43,No Redshift
126,False,ZTF21aaiarmq,Object Not Found,SN Ia,0.322,0.238,0.237,0.203,SNIa,0.346,0.204,0.262,0.188,No Redshift
127,False,ZTF21aamfsza,No Classification,SN II,0.265,0.3,0.218,0.217,SNIbc,0.312,0.218,0.316,0.154,No Redshift
128,False,ZTF21aantsla,SN II,SN II,0.011,0.74,0.04,0.209,SNII,0.102,0.42,0.154,0.324,0.020738
129,False,ZTF21aaxuwvw,No Classification,SN Ib/c,0.314,0.204,0.364,0.118,SNIa,0.372,0.218,0.266,0.144,No Redshift
130,False,ZTF21aanxtrp,No Classification,SN Ia,0.608,0.127,0.146,0.119,SNIa,0.404,0.188,0.272,0.136,No Redshift
131,False,ZTF20acptgfl,SN IIP,SN II,0.035,0.575,0.191,0.199,SNII,0.218,0.296,0.262,0.224,0.0368
132,False,ZTF21aaweqit,SN II,SN II,0.365,0.379,0.145,0.111,SNII,0.26,0.348,0.186,0.206,0.06
133,False,ZTF19aamtdsy,Object Not Found,SN II,0.02,0.65,0.085,0.245,SNII,0.158,0.4,0.196,0.246,No Redshift
134,False,ZTF21aapoiht,No Classification,SN II,0.115,0.546,0.115,0.224,SNII,0.228,0.378,0.232,0.162,No Redshift
135,False,ZTF21aantrxy,No Classification,SN II,0.207,0.397,0.155,0.241,SNIa,0.3,0.244,0.236,0.22,0.057738
136,False,ZTF21aavrywc,No Classification,SN Ia,0.49,0.126,0.309,0.075,SNIa,0.42,0.198,0.272,0.11,0.124306
137,False,ZTF21aarrrsx,No Classification,SN Ib/c,0.36,0.184,0.401,0.055,SNIa,0.374,0.238,0.276,0.112,0.489271
138,False,ZTF21aagupxt,No Classification,SN Ib/c,0.317,0.272,0.325,0.086,SNIa,0.36,0.208,0.33,0.102,0.070445
139,False,ZTF21aaphlty,SN Ia,SN Ia,0.54,0.149,0.254,0.057,SNIa,0.394,0.204,0.322,0.08,0.04887
140,False,ZTF21aagtqxe,No Classification,SN Ib/c,0.289,0.201,0.412,0.098,SNIa,0.39,0.176,0.32,0.114,2.869492
141,False,ZTF21aaracbg,Object Not Found,SN Ib/c,0.359,0.197,0.371,0.073,SNIbc,0.292,0.248,0.338,0.122,No Redshift
142,False,ZTF21aaqehfs,Object Not Found,SN Ia,0.538,0.147,0.233,0.082,SNIa,0.39,0.184,0.354,0.072,0.1051
143,False,ZTF21aaplooj,SN Ia,SN Ia,0.428,0.183,0.348,0.041,SNIa,0.316,0.27,0.302,0.112,0.052228
144,False,ZTF21aamxbem,No Classification,SN Ia,0.422,0.218,0.174,0.186,SNIa,0.432,0.136,0.262,0.17,No Redshift
145,False,ZTF21aalohyg,Object Not Found,SN Ia,0.418,0.194,0.239,0.149,SNIbc,0.282,0.222,0.356,0.14,No Redshift
146,False,ZTF21aafdwwx,No Classification,SN Ia,0.45,0.168,0.262,0.12,SNIbc,0.356,0.124,0.372,0.148,No Redshift
147,False,ZTF20aaoznie,Object Not Found,SLSN,0.23,0.223,0.212,0.335,SNIbc,0.296,0.166,0.304,0.234,0.198867
148,False,ZTF21aalzolf,No Classification,SN Ib/c,0.134,0.225,0.48,0.161,SNIbc,0.31,0.186,0.426,0.078,0.037741
149,False,ZTF21aagyuwh,Object Not Found,SN Ia,0.394,0.153,0.35,0.103,SNIa,0.388,0.178,0.35,0.084,0.075344
150,False,ZTF21aapkzug,No Classification,SN Ia,0.478,0.157,0.327,0.038,SNIa,0.43,0.146,0.324,0.1,No Redshift
151,False,ZTF21aahfizt,SN Ia-91T-like,SN II,0.219,0.294,0.288,0.199,SNIbc,0.334,0.18,0.386,0.1,0.052
152,False,ZTF20acrtkeo,No Classification,SLSN,0.08,0.389,0.111,0.42,SNIa,0.202,0.252,0.208,0.338,No Redshift
153,False,ZTF21aahfpwt,No Classification,SN Ib/c,0.294,0.193,0.349,0.164,SNIbc,0.28,0.226,0.324,0.17,No Redshift
154,False,ZTF21aalnxkl,SN Ia,SN Ia,0.418,0.157,0.295,0.13,SNIbc,0.346,0.146,0.36,0.148,0.087
155,False,ZTF21aapkaio,No Classification,SN Ia,0.421,0.208,0.294,0.077,SNIa,0.378,0.17,0.322,0.13,No Redshift
156,False,ZTF21aaabuoj,SN Ia,SN Ia,0.569,0.16,0.186,0.085,SNIa,0.376,0.194,0.308,0.122,0.07
157,False,ZTF21aaqxiaj,No Classification,SLSN,0.238,0.272,0.2,0.29,SLSN,0.262,0.192,0.24,0.306,No Redshift
158,False,ZTF21aaloior,Object Not Found,SN II,0.242,0.296,0.18,0.282,SNIbc,0.226,0.272,0.316,0.186,No Redshift
159,False,ZTF21aarpyjh,No Classification,SN Ia,0.349,0.221,0.298,0.132,SNIa,0.292,0.254,0.244,0.21,0.107296
160,False,ZTF19aatgxti,No Classification,SN Ib/c,0.345,0.189,0.414,0.052,SNIbc,0.322,0.144,0.466,0.068,0.06076
161,False,ZTF19aaymtau,Object Not Found,SN Ib/c,0.155,0.3,0.334,0.211,SNIbc,0.226,0.284,0.302,0.188,No Redshift
162,False,ZTF21aalolhk,Object Not Found,SN Ib/c,0.274,0.189,0.409,0.128,SNIa,0.34,0.23,0.296,0.134,No Redshift
163,False,ZTF21aakigqr,SN II,SLSN,0.048,0.269,0.076,0.607,SLSN,0.162,0.278,0.24,0.32,0.066866
164,False,ZTF21aagtchp,No Classification,SN Ib/c,0.305,0.258,0.368,0.069,SNIa,0.36,0.196,0.338,0.106,No Redshift
165,False,ZTF20aciwcuz,SN II,SN II,0.088,0.469,0.117,0.326,SLSN,0.122,0.32,0.226,0.332,0.061195
166,False,ZTF21aagyscs,No Classification,SN Ia,0.371,0.181,0.342,0.106,SNIa,0.364,0.222,0.272,0.142,No Redshift
167,False,ZTF21aarzrix,No Classification,SN Ia,0.313,0.237,0.242,0.208,SNIa,0.338,0.228,0.24,0.194,1.055
168,False,ZTF21aarlkrn,No Classification,SN Ib/c,0.3,0.179,0.354,0.167,SNIa,0.402,0.172,0.302,0.124,No Redshift
169,False,ZTF21aarnsbd,No Classification,SN II,0.147,0.431,0.144,0.278,SNII,0.182,0.34,0.23,0.248,No Redshift
170,False,ZTF21aatabgn,SN II,SN Ia,0.346,0.325,0.194,0.135,SNIa,0.308,0.28,0.212,0.2,0.0777
171,False,ZTF21aagtbat,Object Not Found,SLSN,0.088,0.285,0.15,0.477,SLSN,0.164,0.24,0.196,0.4,No Redshift
172,False,ZTF21aaekeqv,SN II,SLSN,0.071,0.319,0.141,0.469,SNIbc,0.298,0.18,0.346,0.176,0.04
173,False,ZTF21aacufqf,No Classification,SN Ia,0.441,0.144,0.264,0.151,SNIa,0.436,0.164,0.324,0.076,0.080276
174,False,ZTF21aapvmcu,No Classification,SLSN,0.061,0.358,0.087,0.494,SLSN,0.23,0.284,0.202,0.284,No Redshift
175,False,ZTF21aavhpkn,Object Not Found,SN Ib/c,0.233,0.199,0.515,0.053,SNIbc,0.292,0.222,0.38,0.106,No Redshift
176,False,ZTF21aaeozek,No Classification,SN Ia,0.472,0.153,0.22,0.155,SNIa,0.374,0.22,0.252,0.154,No Redshift
177,False,ZTF20actqusj,No Classification,SN II,0.115,0.502,0.17,0.213,SNII,0.132,0.346,0.276,0.246,No Redshift
178,False,ZTF21aaqzqdy,No Classification,SN Ia,0.394,0.193,0.237,0.176,SNIa,0.336,0.2,0.234,0.23,No Redshift
179,False,ZTF21aacufgy,No Classification,SN II,0.073,0.495,0.117,0.315,SLSN,0.124,0.318,0.192,0.366,No Redshift
180,False,ZTF21aagtsla,No Classification,SN Ia,0.388,0.173,0.339,0.1,SNIa,0.422,0.18,0.288,0.11,No Redshift
181,False,ZTF21aafdtir,No Classification,SN II,0.277,0.305,0.304,0.114,SNIbc,0.27,0.244,0.364,0.122,No Redshift
182,False,ZTF21aatgjip,Object Not Found,SN II,0.216,0.302,0.243,0.239,SNIbc,0.26,0.248,0.326,0.166,No Redshift
183,False,ZTF20abewodu,Object Not Found,SLSN,0.129,0.282,0.138,0.451,SLSN,0.162,0.246,0.2,0.392,No Redshift
184,False,ZTF21aarzsxq,No Classification,SN Ia,0.34,0.233,0.263,0.164,SNIa,0.356,0.2,0.286,0.158,No Redshift
185,False,ZTF21aaxzdxd,SN Ia,SN Ia,0.499,0.228,0.201,0.072,SNIa,0.43,0.182,0.306,0.082,0.08
186,False,ZTF21aahrcay,Object Not Found,SN Ib/c,0.313,0.227,0.333,0.127,SNIbc,0.256,0.264,0.272,0.208,No Redshift
187,False,ZTF21aagkwjc,No Classification,SN Ia,0.466,0.141,0.23,0.163,SNIa,0.29,0.23,0.24,0.24,-2.2e-05
188,False,ZTF21aalkodi,Object Not Found,SN Ia,0.471,0.125,0.327,0.077,SNIa,0.388,0.18,0.312,0.12,No Redshift
189,False,ZTF21aarbczx,No Classification,SN Ib/c,0.232,0.174,0.554,0.04,SNIa,0.346,0.19,0.346,0.118,0.057747
190,False,ZTF21aalkodo,SN Ia,SN Ia,0.383,0.205,0.287,0.125,SNIa,0.274,0.238,0.27,0.218,0.054368
191,False,ZTF21aaiipnf,No Classification,SN II,0.252,0.288,0.219,0.241,SNIa,0.288,0.228,0.224,0.26,0.032035
192,False,ZTF21aaoseuq,No Classification,SN Ia,0.427,0.147,0.337,0.089,SNIbc,0.374,0.176,0.378,0.072,0.099257
193,False,ZTF21aahsqng,SN Ia,SN Ib/c,0.356,0.16,0.36,0.124,SNIa,0.384,0.17,0.28,0.166,0.057
194,False,ZTF20abqdqyh,SN II,SN II,0.093,0.436,0.291,0.18,SNII,0.176,0.3,0.286,0.238,0.0194
195,False,ZTF21aakjbdm,No Classification,SLSN,0.096,0.337,0.16,0.407,SNII,0.168,0.334,0.224,0.274,No Redshift
196,False,ZTF19aayilme,No Classification,SN Ib/c,0.303,0.245,0.383,0.069,SNIbc,0.268,0.292,0.342,0.098,No Redshift
197,False,ZTF21aaloobp,Object Not Found,SN Ia,0.369,0.203,0.337,0.091,SNIa,0.332,0.212,0.292,0.164,No Redshift
